NUM Number of Observations (optional output, scale 1, nodata: 0)
AVG Average of dt (optional output, scale: 1, nodata: 0)
STD Standard Deviation of dt (optional output, scale: 1, nodata: 0)
MIN Minimum of dt (optional output, scale: 1, nodata: 0)
MAX Maximum of dt (optional output, scale: 1, nodata: 0)
RNG Range of dt (optional output, scale: 1, nodata: 0)
SKW Skewness of dt (optional output, scale: 10000, nodata: 0)
KRT Kurtosis of dt (optional output, scale: 1000, nodata: 0)
Q25 0.25 Quantile of dt (optional output, scale: 1, nodata: 0)
Q50 0.50 Quantile of dt (optional output, scale: 1, nodata: 0)
Q75 0.75 Quantile of dt (optional output, scale: 1, nodata: 0)
IQR Interquartile Range of dt (optional output, scale: 1, nodata: 0)
